Extract_Date,Report_Period,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T2,Departure,International,23863
"2021, August 01, Sunday 12:00:23 AM","2021, May 01, Saturday 12:00:00 AM",TBIT,Departure,International,153421
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T6,Departure,International,41344
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T8,Arrival,Domestic,69782
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T4,Arrival,Domestic,355446
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T5,Departure,International,13522
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",TBIT,Arrival,International,229869
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T1,Departure,Domestic,226122
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,9
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,268
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T8,Departure,International,11204
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T2,Departure,Domestic,412607
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T4,Departure,International,13271
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",TBIT,Departure,International,155227
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",TBIT,Arrival,International,232472
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T5,Departure,Domestic,380047
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T7,Departure,Domestic,222638
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T2,Arrival,Domestic,488718
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T1,Arrival,Domestic,226637
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T8,Arrival,International,2582
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,67443
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T4,Arrival,International,70
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T4,Arrival,International,5010
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",TBIT,Arrival,Domestic,9244
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T7,Departure,International,41579
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Departure,International,232
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",TBIT,Departure,Domestic,103734
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T2,Departure,International,36418
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T6,Departure,Domestic,173414
"2021, July 10, Saturday 06:01:27 AM","2021, June 01, Tuesday 12:00:00 AM",T8,Departure,Domestic,79154
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T6,Arrival,Domestic,168948
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T4,Departure,International,16205
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",TBIT,Arrival,Domestic,23064
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T8,Departure,International,7613
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T6,Departure,International,56406
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",TBIT West Gates,Departure,International,78607
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T4,Arrival,Domestic,305702
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",TBIT West Gates,Arrival,Domestic,41966
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T6,Departure,Domestic,153846
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T5,Departure,Domestic,324390
"2022, June 01, Wednesday 12:00:23 AM","2022, April 01, Friday 12:00:00 AM",Miscellaneous Terminal,Departure,International,98
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T2,Departure,Domestic,409055
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T6,Arrival,International,26968
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T1,Arrival,Domestic,257390
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T7,Departure,International,22202
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T8,Arrival,Domestic,102251
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T2,Arrival,Domestic,486249
"2022, May 10, Tuesday 06:01:09 AM","2022, April 01, Friday 12:00:00 AM",T8,Departure,International,9832
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",TBIT,Departure,International,155882
