DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
04/18/2018 03:12:41 PM,Apr 2016,Arrival,International,Mail,1134
04/18/2018 03:12:41 PM,Oct 2016,Departure,Domestic,Freight,35204
04/18/2018 03:12:41 PM,Sep 2011,Arrival,International,Freight,46465
04/18/2018 03:12:41 PM,Apr 2013,Departure,Domestic,Mail,2311
03/22/2019 10:49:20 AM,Feb 2019,Arrival,Domestic,Freight,25049
04/18/2018 03:12:41 PM,Oct 2010,Arrival,Domestic,Mail,1565
04/18/2018 03:12:41 PM,Aug 2014,Departure,Domestic,Freight,33695
04/18/2018 03:12:41 PM,Oct 2010,Departure,Domestic,Mail,2526
04/18/2018 03:12:41 PM,Oct 2007,Arrival,Domestic,Freight,37468
04/18/2018 03:12:41 PM,Apr 2007,Arrival,Domestic,Mail,1889
04/18/2018 03:12:41 PM,Aug 2016,Arrival,International,Mail,1698
04/18/2018 03:12:41 PM,Jan 2006,Arrival,International,Freight,46391
04/18/2018 03:12:41 PM,Feb 2009,Departure,Domestic,Freight,27105
04/18/2018 03:12:41 PM,Jan 2014,Departure,Domestic,Freight,33246
04/18/2018 03:12:41 PM,May 2010,Departure,Domestic,Mail,2391
02/02/2021 08:17:02 AM,Dec 2020,Arrival,International,Mail,1451
04/18/2018 03:12:41 PM,Apr 2008,Arrival,Domestic,Freight,31587
04/18/2018 03:12:41 PM,Feb 2009,Departure,International,Mail,963
04/18/2018 03:12:41 PM,Jul 2016,Arrival,Domestic,Mail,2551
02/28/2020 08:21:30 AM,Jan 2020,Departure,International,Freight,41281
04/18/2018 03:12:41 PM,Feb 2011,Arrival,Domestic,Mail,1658
04/18/2018 03:12:41 PM,Dec 2012,Arrival,International,Mail,3343
04/18/2018 03:12:41 PM,Aug 2013,Departure,Domestic,Mail,2248
04/18/2018 03:12:41 PM,Oct 2015,Arrival,International,Freight,62210
04/18/2018 03:12:41 PM,Nov 2006,Arrival,Domestic,Freight,36344
04/18/2018 03:12:41 PM,Nov 2011,Departure,Domestic,Freight,33340
12/26/2018 06:52:40 AM,Nov 2018,Departure,Domestic,Mail,3330
05/23/2018 07:44:39 AM,Apr 2018,Departure,Domestic,Freight,33957
11/10/2019 06:01:31 AM,Sep 2019,Departure,Domestic,Mail,4813
04/18/2018 03:12:41 PM,Jul 2009,Departure,Domestic,Mail,1733
04/18/2018 03:12:41 PM,Feb 2010,Departure,International,Freight,31358
04/18/2018 03:12:41 PM,Nov 2011,Arrival,Domestic,Mail,1596
04/18/2018 03:12:41 PM,Nov 2014,Arrival,International,Mail,1047
04/18/2018 03:12:41 PM,Dec 2012,Departure,Domestic,Freight,37422
04/18/2018 03:12:41 PM,Sep 2011,Departure,Domestic,Freight,31606
11/10/2019 06:01:31 AM,Sep 2019,Departure,International,Mail,739
01/30/2019 07:34:09 AM,Dec 2018,Departure,Domestic,Mail,7765
04/29/2019 01:10:30 PM,Oct 2018,Departure,International,Freight,55110
08/10/2018 06:01:24 AM,Jun 2018,Arrival,International,Freight,77091
04/18/2018 03:12:41 PM,Feb 2010,Arrival,International,Mail,658
04/29/2019 01:10:30 PM,Oct 2017,Arrival,International,Freight,75541
04/18/2018 03:12:41 PM,Jun 2007,Departure,International,Mail,1082
04/18/2018 03:12:41 PM,Mar 2010,Arrival,International,Freight,58165
04/18/2018 03:12:41 PM,May 2015,Arrival,Domestic,Freight,29455
04/18/2018 03:12:41 PM,Apr 2008,Arrival,Domestic,Mail,1806
04/18/2018 03:12:41 PM,Sep 2014,Arrival,Domestic,Mail,1846
04/18/2018 03:12:41 PM,Jul 2007,Arrival,Domestic,Freight,33369
04/18/2018 03:12:41 PM,Jul 2017,Arrival,International,Freight,73355
04/18/2018 03:12:41 PM,Dec 2009,Arrival,Domestic,Freight,34683
04/18/2018 03:12:41 PM,Feb 2009,Arrival,Domestic,Freight,23020
04/18/2018 03:12:41 PM,Nov 2010,Arrival,International,Mail,454
04/29/2019 01:10:30 PM,Jan 2018,Departure,International,Freight,46385
04/18/2018 03:12:41 PM,Dec 2007,Departure,Domestic,Freight,37963
04/18/2018 03:12:41 PM,Jul 2015,Arrival,Domestic,Freight,28449
04/18/2018 03:12:41 PM,Jul 2013,Arrival,Domestic,Freight,27644
04/18/2018 03:12:41 PM,Apr 2016,Departure,International,Freight,44563
04/18/2018 03:12:41 PM,Feb 2006,Arrival,Domestic,Mail,2551
04/18/2018 03:12:41 PM,Mar 2011,Arrival,Domestic,Freight,31957
04/18/2018 03:12:41 PM,Aug 2015,Departure,Domestic,Mail,2602
05/28/2019 06:24:45 AM,Apr 2019,Arrival,International,Freight,69061
04/18/2018 03:12:41 PM,Oct 2015,Departure,International,Mail,1349
04/18/2018 03:12:41 PM,Nov 2006,Arrival,International,Mail,769
04/18/2018 03:12:41 PM,May 2009,Departure,International,Freight,30665
04/18/2018 03:12:41 PM,Jul 2011,Arrival,International,Mail,525
